art_id,token
21,"[('피드백', 'NNG')]"
21,"[('반영', 'NNG'), ('하', 'XSV'), ('여', 'EC')]"
21,"[('업데이트', 'NNG'), ('를', 'JKO')]"
21,"[('하', 'VV'), ('게', 'EC')]"
21,"[('되', 'VV'), ('어', 'EC')]"
21,"[('글', 'NNG'), ('을', 'JKO')]"
21,"[('다시', 'MAG')]"
21,"[('씁니다', 'VV+EC')]"
22,"[('It', 'SL'), ('업종', 'NNG'), ('중', 'NNB'), ('에', 'JKB')]"
22,"[('예술', 'NNG'), ('과', 'JC')]"
22,"[('관련', 'NNG'), ('이', 'JKS')]"
22,"[('있', 'VA'), ('는', 'ETM')]"
22,"[('직종', 'NNG'), ('이', 'JKS')]"
22,"[('무엇', 'NP'), ('일까요', 'VCP+EC')]"
23,"[('SI', 'SL')]"
23,"[('업계', 'NNG'), ('에', 'JKB')]"
23,"[('대한', 'VV+ETM')]"
23,"[('평가', 'NNG'), ('가', 'JKS')]"
23,"[('개개인', 'NNG'), ('별', 'XSN'), ('로', 'JKB')]"
23,"[('굉장히', 'MAG')]"
23,"[('다르', 'VA'), ('군요', 'EC')]"
24,"[('react', 'SL')]"
24,"[('로컬스트리지', 'NNP'), ('로', 'JKB')]"
24,"[('todolist', 'SL')]"
24,"[('만들', 'VV'), ('어서', 'EC')]"
24,"[('연습', 'NNG'), ('중', 'NNB'), ('인데', 'VCP+EC')]"
24,"[('이', 'MM')]"
24,"[('에러', 'NNG'), ('는', 'JX')]"
24,"[('어떡', 'XR'), ('하', 'XSA'), ('나요', 'EC')]"
25,"[('베트남', 'NNP'), ('에서', 'JKB')]"
25,"[('개발자', 'NNG'), ('가', 'JKS')]"
25,"[('될', 'VV+ETM'), ('수', 'NNB')]"
25,"[('있', 'VA'), ('을까', 'EC')]"
26,"[('레노버', 'NNP')]"
26,"[('테', 'NNP'), ('블릿', 'NNP'), ('과', 'JC')]"
26,"[('맥북', 'NNP')]"
26,"[('미러링', 'NNP')]"
26,"[('연결', 'NNG')]"
27,"[('개발자', 'NNG'), ('인데', 'VCP+EC')]"
