art_id,token,type
89,1년차,comp_SN_NNBC_NNG
89,연봉협상,comp_Nouns2
90,35살,comp_SN_NNBC
90,프론트엔드,NNP
90,시작,NNG
91,사크,NNP
91,신입,NNG
91,프리랜서,NNG
92,jdd,SL
92,개발방법론,comp_Nouns2
93,실무,NNG
93,면접,NNG
93,통과,NNG
94,구직,NNG
94,발견,NNG
95,노안,NNG
95,코딩,NNG
95,수도,NNG
96,mfc,SL
96,개발,NNG
96,4년차,comp_SN_NNBC_NNG
96,java,SL
96,전향,NNG
97,작성,NNG
97,전자책,NNG
97,피드백,NNG
97,도움,NNG
97,주실,NNG
98,파이썬,NNP
98,재귀함수,NNP
98,이용한,NNP
98,순열,NNG
98,설명,NNG
99,취업,NNG
99,상황,NNG
99,체크,NNG
100,벡엔드,comp_Nouns2
100,소프트웨어,NNG
100,대학생,NNG
100,os,SL
100,mac,SL
100,정답,NNG
101,포트폴리오,NNG
101,프로젝트,NNG
101,주제,NNG
102,프론트엔드,NNP
102,신입,NNG
102,지원,NNG
102,포트폴리오,NNG
103,오늘,NNG
104,공고,NNG
104,연봉,NNG
104,근로계약서,NNP
104,연봉,NNG
105,국비관련,comp_Nouns2
106,vscode,SL
106,emmet,SL
106,기능,NNG
107,취업,NNG
107,이직,NNP
107,시장,NNG
107,한파,NNG
108,프리랜서,NNG
108,연금,NNG
109,reactjs,SL
109,학습,NNG
109,사전지식의,comp_Nouns3
109,깊이,NNG
110,포트폴리오,NNG
110,면접,NNG
110,회사,NNG
110,아이디어,NNG
110,경우,NNG
111,백엔드,NNP
111,프론트엔드,NNP
111,협업,NNG
111,생각,NNG
112,리액트,NNP
112,웹페이지,comp_Nouns2
112,가요,NNG
113,javascript,SL
114,부산,NNP
114,프리,NNG
115,fomo,SL
115,fobo,SL
115,생각,NNG
115,가요,NNG
116,이력서,NNG
116,토이프로젝트,comp_Nouns2
117,스타트업,NNG
117,백엔드,NNP
117,신입,NNG
117,연봉,NNG
117,정도,NNG
118,현실,NNG
118,보안관,NNG
118,필요,NNG
119,프론트,NNP
119,전직,NNG
120,사업,NNG
120,관리,NNG
120,직무,NNG
120,취직,NNG
121,시력,NNG
121,노화,NNG
121,si,SL
121,sm,SL
121,코딩,NNG
122,요즘,NNG
122,경기,NNG
122,프리,NNG
122,일자리,NNG
123,국비,NNG
123,프로젝트,NNG
123,강사,NNG
124,증사,NNG
124,여권,NNG
124,사진,NNG
124,이력서,NNG
124,사진,NNG
125,유튜브,NNP
125,무료강의,comp_Nouns2
125,추천,NNG
125,html,SL
125,css,SL
125,javascript,SL
126,지하철,NNG
126,자리,NNG
126,할머니,NNG
126,쌍욕,NNG
127,비전공자,NNP
127,국비학원,comp_Nouns2
127,예습,NNG
127,수준,NNG
128,경력직,NNG
128,3개월,comp_SN_NNBC
128,수습기간사이,comp_Nouns3
129,기술서적,comp_Nouns2
129,노트,NNG
129,정리,NNG
130,날씨,NNG
130,한강,NNP
131,백엔드,NNP
131,개발자의,comp_Nouns2
131,기준,NNG
131,트렌드,NNG
131,조금,NNG
131,기술,NNG
131,언어,NNG
132,방통대,NNP
132,가용,NNG
133,kh,SL
133,강사,NNG
134,컴공,comp_Nouns2
134,과목,NNG
134,졸업,NNG
134,중요,NNG
134,과목,NNG
135,프리랜서,NNG
135,mes,SL
135,vs,SL
135,병원,NNG
136,해당,NNG
136,교육,NNG
136,과정,NNG
137,이직,NNG
138,국비,NNG
138,수료,NNG
138,기준,NNG
138,보통,NNG
138,수준,NNG
139,얼마,NNG
139,국비,NNG
139,포기,NNG
139,사람,NNG
140,26살,comp_SN_NNBC
140,진로,NNG
140,고민상담,comp_Nouns2
141,국비,NNG
141,경쟁력,NNG
141,포트폴리오,NNG
142,국비학원,comp_Nouns2
142,커리큘럼,NNG
143,삭제,NNG
143,마지막,NNG
144,언어,NNG
144,공부,NNG
144,생각,NNG
145,10년,comp_SN_NNBC
145,정도,NNG
145,프리,NNG
145,지금,NNG
145,준비,NNG
145,필요,NNG
146,김영한,NNP
146,강의,NNG
146,프로젝트,NNG
146,public,SL
146,프로젝트,NNG
147,풀스,NNG
147,강점,NNG
148,전공,NNG
149,실력,NNG
149,평가,NNG
149,유리,NNG
149,까닭,NNG
150,요즘,NNG
150,si,SL
150,고급,NNG
150,얼마,NNG
151,프리랜서,NNG
151,계약,NNG
151,사항,NNG
151,가요,NNG
152,윈도우,NNP
152,가상데스크탑,comp_Nouns3
152,활용,NNG
153,취업,NNG
154,원티드,NNP
154,신입,NNG
154,채용,NNG
155,사람,NNG
156,일본,NNP
156,it,SL
156,기업,NNG
156,합격,NNG
157,스타트업,NNG
157,입사,NNG
157,fe,SL
157,주니어,NNG
158,프론트엔드,NNP
159,프리랜서,NNG
159,pm,SL
159,pl,SL
159,정도,NNG
160,nodejs,SL
160,javascript,SL
160,runtime,SL
160,bun,SL
160,등장,NNG
161,이력서,NNG
161,여부,NNG
162,기업,NNG
163,메뉴얼,comp_Nouns2
163,기능,NNG
163,정의,NNG
163,작성,NNG
164,안드로이드,NNG
164,flutter,SL
164,개발,NNG
164,시장,NNG
165,신입애,comp_Nouns2
165,개발,NNG
166,tv,SL
166,스틱,NNG
166,주문,NNG
167,쿠팡,NNP
168,학부,NNG
168,안드로이드,NNG
168,프로젝트,NNG
168,주제,NNG
169,국비,NNG
169,지원,NNG
170,스프링,NNG
170,부트,NNG
170,포트폴리오,NNG
170,프로젝트,NNG
171,신입개발자,comp_Nouns2
171,하루,NNG
173,보통,NNG
173,프리랜서,NNG
173,업무범위,comp_Nouns2
174,지인,NNG
174,유튜버나,comp_Nouns3
174,사람,NNG
175,백엔드,NNP
175,공부,NNG
176,기업,NNG
176,포트폴리오,NNG
176,어필,NNG
176,아이템,NNG
176,중요,NNG
177,서비스,NNG
177,가요,NNG
178,신입,NNG
178,커리어,NNP
179,백엔드,NNP
179,php,SL
179,시작,NNG
180,보통,NNG
180,자신,NNG
180,포트폴리오,NNG
181,부트캠프,comp_Nouns2
181,원래,NNG
181,일시불,NNG
181,선납,NNG
182,일본,NNP
182,블랙기업,comp_Nouns2
183,신입,NNG
183,이력서,NNG
183,정도,NNG
184,github,SL
184,achievements,SL
184,아이콘,NNG
184,추가,NNG
185,win,SL
186,열대야,NNG
187,프로그래머,NNG
187,실력,NNG
188,26살,comp_SN_NNBC
188,4년차,comp_SN_NNBC_NNG
188,환승,NNG
188,퇴사,NNG
188,재취업,NNG
189,서울,NNP
189,강남,NNP
189,펌웨어,NNG
190,신입,NNG
190,프로그래머,NNG
190,취업,NNG
190,생각,NNG
191,플랫,NNG
192,구인,NNG
192,공고,NNG
192,자바,NNG
192,이직,NNG
193,데스크탑,comp_Nouns2
194,요즘,NNG
194,서점,NNG
194,코딩,NNG
195,블루투스,NNP
195,이어폰,NNG
195,밧데리,NNG
195,1년,comp_SN_NNBC
196,자바,NNG
196,백엔드,NNP
196,3개월차,comp_SN_NNBC_NNG
196,신입,NNG
197,aws,SL
197,문서,NNG
197,확인,NNG
198,마음,NNG
199,자바,NNG
199,입문자,comp_Nouns2
199,생활,NNG
199,코딩,NNG
199,멍청이,NNG
200,백엔드,NNP
200,ai,SL
200,회사,NNG
201,네트워크,NNG
201,공부,NNG
202,반도체,NNG
202,장비,NNG
202,sw,SL
202,코린,NNP
203,신입,NNG
203,포트폴리오,NNG
203,방향,NNG
204,ai,SL
204,학습,NNG
204,플랫,NNG
204,기술,NNG
205,해외,NNG
205,기업,NNG
205,원격,NNG
205,근무,NNG
205,취업,NNG
205,가요,NNG
206,국비과정,comp_Nouns2
206,코린,NNP
207,맥북,NNP
207,노트북,NNG
208,조선족,NNG
208,중국,NNP
208,한국,NNP
208,혈통,NNG
209,코딩테스트,comp_Nouns2
209,자바,NNG
209,스크립트,NNG
209,원래,NNG
210,출근,NNG
210,가방,NNG
211,신입,NNG
211,수준,NNG
211,문의,NNG
212,사이버대,comp_Nouns2
213,컴공,comp_Nouns2
213,인스타툰,comp_Nouns3
214,국비지원,comp_Nouns2
214,예습,NNG
214,신청,NNG
215,전기,NNG
215,전향,NNG
216,ddd,SL
216,사람,NNG
217,맥북,NNP
217,회사,NNG
217,회사,NNG
217,jpg,SL
218,학부,NNG
218,swift,SL
218,국책과제,comp_Nouns2
219,1년간,comp_SN_NNBC_NNG
219,ui,SL
219,개발,NNG
219,프론트엔드,NNP
220,이직,NNP
220,2개월,comp_SN_NNBC
221,신입,NNG
221,기술스택,comp_Nouns2
222,국비,NNG
222,개린,NNG
223,입사,NNG
223,신입직원의,comp_Nouns3
223,태도변화,comp_Nouns2
224,노트북,NNG
224,추천,NNG
225,si,SL
225,업체,NNG
225,법카로,comp_Nouns2
225,복지,NNG
227,실력,NNG
227,향상,NNG
227,진학,NNG
228,코딩,NNG
229,게임프로그래밍,comp_Nouns2
229,진로,NNG
229,판단,NNG
230,신입,NNG
231,신입개발자,comp_Nouns2
231,파이썬,NNP
232,자바,NNG
232,공부,NNG
233,신입,NNG
234,학위,NNG
235,si,SL
235,후기,NNG
236,sicp,SL
236,공부,NNG
237,방식,NNG
238,프로그래머,NNG
238,레벨,NNG
239,컴공,comp_Nouns2
239,4학년,NNP
239,취업,NNG
240,정부,NNG
240,지원,NNG
240,투자,NNG
241,개발자의,comp_Nouns2
241,회의감,NNG
242,데이터,NNG
242,엔지니어,NNG
242,수학,NNG
243,솔루션,NNP
243,업체,NNG
243,si,SL
243,이직,NNG
244,코딩테스트,comp_Nouns2
244,전역변수,comp_Nouns2
245,오늘,NNG
245,출근,NNG
245,후기,NNG
246,초보,NNG
246,java,SL
246,wmswarehouse,SL
246,management,SL
246,system,SL
246,구현,NNG
248,자바,NNG
248,스크립트,NNG
249,학사편입,comp_Nouns2
249,국비,NNG
249,학원,NNG
250,연봉,NNG
250,범위,NNG
251,si,SL
251,프로젝트,NNG
251,오픈전,comp_Nouns2
251,막바지,NNG
251,데이터,NNG
251,검증,NNG
252,사무직,NNG
252,직무,NNG
252,변경,NNG
253,백엔드,NNP
253,신입,NNG
253,지원,NNG
254,개발,NNG
255,프론트엔드,NNP
255,신입,NNG
255,준비,NNG
255,현실,NNG
255,필요,NNG
255,주의,NNG
256,프론트엔드,NNP
256,js,SL
256,신입,NNG
256,si,SL
256,취업,NNG
257,3년차,comp_SN_NNBC_NNG
257,이직,NNP
258,미래,NNG
258,진로,NNG
259,개발,NNG
259,게이밍,NNP
259,마우스,NNG
259,키보드,NNG
261,기초,NNG
261,지식,NNG
261,인턴,NNG
262,개발,NNG
262,수학,NNG
263,프리랜서,NNG
263,고용보험,comp_Nouns2
264,웹개발,comp_Nouns2
264,과외,NNG
264,수업,NNG
264,브라우저,NNG
264,서버,NNG
264,흐름,NNG
265,2년차,comp_SN_NNBC_NNG
265,이직,NNG
266,대학교,NNG
266,해킹과제,comp_Nouns2
266,jpg,SL
267,국비,NNG
267,점수,NNG
267,관리,NNG
267,중요,NNG
268,마인드,NNG
269,신입,NNG
269,스타트업,NNG
269,시리즈,NNG
270,모바일,NNP
270,kotlin,SL
270,swift,SL
272,회사,NNG
272,계속,NNG
273,프로그래밍,NNG
274,직업,NNG
275,스프링,NNG
275,네이버,NNP
275,로그인,NNG
275,서버,NNG
275,배포후,comp_Nouns2
275,url,SL
275,도메인,NNG
275,부분,NNG
275,변경,NNG
275,사례,NNG
275,감사,NNG
275,사례,NNG
276,국비학원,comp_Nouns2
277,천사,NNG
277,it,SL
277,국비,NNG
277,지원,NNG
277,가요,NNG
278,모션데스크,comp_Nouns2
279,일정,NNG
280,내일,NNG
280,출근,NNG
280,신입,NNG
281,ssafy,SL
281,vs,SL
281,체험,NNG
281,인턴,NNG
282,조금,NNG
282,워라,NNG
282,추구,NNG
283,회사,NNG
283,판단,NNG
284,연봉,NNG
285,자작,NNG
285,라이브러리,NNG
285,typescriptjson,SL
285,json,SL
285,변환,NNG
285,속도,NNG
285,향상,NNG
285,런타임,NNP
285,타입,NNG
285,체커,NNG
286,프로젝트,NNG
286,개발,NNG
286,서비스,NNG
286,소개,NNG
287,it,SL
287,취업상황,comp_Nouns2
288,장차,NNG
288,프리,NNG
288,지망,NNG
288,spring,SL
288,react,SL
288,비전,NNG
289,대학,NNG
289,졸업이후,comp_Nouns2
289,방통대,NNP
289,컴퓨터,NNG
289,공학,NNG
289,편입,NNG
290,구글,NNG
290,시절,NNG
290,프로그래밍,NNG
291,웹사이트,comp_Nouns2
291,고수,NNG
291,고견,NNG
292,aws,SL
292,요금폭탄,comp_Nouns2
292,과금,NNG
292,해결책,NNG
293,토이프로젝트,comp_Nouns2
293,참여,NNG
293,수준,NNG
293,전공,NNG
295,국비,NNG
295,교육,NNG
295,복습,NNG
296,포트폴리오,NNG
296,개인,NNG
296,블로그,NNG
298,현실,NNG
298,프론트엔드,NNP
298,신입,NNG
298,취업,NNG
298,가요,NNG
299,시력,NNG
300,30살,comp_SN_NNBC
300,신입,NNG
300,vs,SL
300,30살,comp_SN_NNBC
300,국비,NNG
300,2년차,comp_SN_NNBC_NNG
301,컴공,comp_Nouns2
301,2학년,NNP
301,딥러닝,comp_Nouns2
301,학업,NNG
301,방향,NNG
302,sts,SL
302,스프링,NNG
302,프로젝트,NNG
302,생성,NNG
302,오류,NNG
303,기업,NNG
303,나라,NNG
304,고졸,NNP
304,전공,NNG
304,자의,NNG
304,도전,NNG
306,개발,NNG
306,시간,NNG
307,40세,comp_SN_NNBC
307,vs,SL
307,si,SL
308,설계,NNG
309,lg,SL
309,메디헤어,comp_Nouns2
309,증정,NNG
309,이벤트,NNG
310,공공데이터사이트,comp_Nouns3
311,며칠간,comp_Nouns2
311,jenkins,SL
311,docker,SL
311,씨름,NNG
311,자동,NNG
311,배포,NNG
311,성공,NNG
312,시뮬레이션,NNG
312,회사,NNG
312,인턴,NNG
312,첫날,NNG
312,복장,NNG
313,오키,NNP
313,게릴라,NNG
313,멘토링,NNP
314,해커,NNG
314,개발,NNG
315,장마,NNG
316,요즘,NNG
316,면접,NNG
316,기억,NNG
317,백엔드,NNP
317,업무,NNG
318,웹개발,comp_Nouns2
318,커리큘럼,NNG
319,만의,NNG
319,레퍼런스,NNP
319,코드,NNG
319,메모장,NNP
319,파일,NNG
320,클라우드,NNP
320,도메인,NNG
320,com,SL
321,퇴사,NNG
321,확정,NNG
321,인수인계,NNG
321,기간,NNG
321,동안,NNG
321,신규,NNG
321,작업,NNG
322,인상,NNG
323,선배,NNG
323,졸업,NNG
323,예비,NNG
323,진로,NNG
324,과외,NNG
325,서버,NNG
325,배포후,comp_Nouns2
325,네이버,NNP
325,로그인,NNG
325,url,SL
325,도메인,NNG
325,부분,NNG
325,변경,NNG
325,사례,NNG
326,스타트업,NNG
326,후기,NNG
327,경력,NNG
327,길이,NNG
327,생각,NNG
328,패캠,comp_Nouns2
328,남궁성,NNP
329,코딩,NNG
329,학력,NNG
329,상관,NNG
329,관계,NNG
329,인과,NNG
329,관계,NNG
330,정처기,comp_Nouns2
330,vs,SL
330,빅분기,comp_Nouns2
331,국비학원,comp_Nouns2
331,커리큘럼,NNG
332,컴공,comp_Nouns2
332,4학년,NNP
332,졸업,NNG
332,직전,NNG
333,하루,NNG
333,퇴사,NNG
334,불안,NNG
335,신입,NNG
335,개발,NNG
335,자분,NNG
335,외부,NNG
335,aws,SL
335,배포,NNG
335,기본,NNG
336,멘토링,NNP
338,32살,comp_SN_NNBC
338,6년차,comp_SN_NNBC_NNG
339,hdmi,SL
339,배분기,comp_Nouns2
340,개발,NNG
340,신입,NNG
340,개월,NNP
341,취업,NNG
343,it,SL
343,호황,NNG
344,국비,NNG
344,리좀,NNP
345,프론트,NNP
345,부트캠프,comp_Nouns2
345,지원,NNG
345,예정,NNG
346,wordpress,SL
346,대체,NNG
346,cms,SL
346,feat,SL
346,tibero,SL
346,db,SL
347,대학,NNG
347,학점,NNG
347,성적장학금,comp_Nouns2
348,국비학원,comp_Nouns2
348,커리,NNP
349,오늘,NNG
349,출근,NNG
350,ppt,SL
350,포토폴리오,comp_Nouns2
350,템플,NNG
351,네카라쿠배,NNP
351,메신저,NNG
352,엔지니어,NNG
352,학벌,NNG
353,대학졸업,comp_Nouns2
353,개발직,comp_Nouns2
353,알바,NNP
354,각자,NNG
354,이야기,NNG
354,가요,NNG
355,사용,NNG
355,아이템,NNG
356,리액트,NNP
357,멀티미디어,NNG
357,학사,NNG
357,전공,NNG
358,플래닛,NNP
358,회사,NNG
358,정보,NNG
358,사람,NNG
358,퇴사,NNG
358,경우,NNG
359,연봉,NNG
359,협상,NNG
360,스프링,NNG
360,게시판,NNG
360,강의,NNG
361,계약서,NNG
361,퇴사,NNG
361,60일,comp_SN_NNBC
361,통보,NNG
361,근로기준법,comp_Nouns3
361,위반,NNG
362,내용,NNG
363,국비진도,comp_Nouns2
364,퍼블리싱의,comp_Nouns2
364,범위,NNG
365,직장생활,comp_Nouns2
366,9개월신입,comp_SN_NNBC_NNG
366,이내,NNG
366,crud,SL
366,게시판,NNG
367,그동안,NNG
367,편견,NNG
367,선입견,NNG
367,인정,NNG
368,퍼블리셔,NNG
368,프론트엔드,NNP
368,이직,NNP
370,스타트업,NNG
370,ios,SL
370,안드로이드,NNG
370,개발언어,comp_Nouns2
371,신입,NNG
371,취직,NNG
371,이력서,NNG
372,sm,SL
372,업무,NNG
372,신생기업,comp_Nouns2
372,rd,SL
372,이직,NNP
373,자바스크립트,comp_Nouns2
373,문제,NNG
374,회사,NNG
374,선택,NNG
374,면접,NNG
375,작년,NNG
375,재택,NNG
375,근무,NNG
375,장단점,NNG
375,feat,SL
375,경험,NNG
376,웹개발,comp_Nouns2
376,입문,NNG
376,노트북,NNG
376,ntsc,SL
376,사양,NNG
376,필요,NNG
377,멘토,NNP
378,스프링,NNG
378,인강,NNP
378,추천,NNG
379,야근,NNG
379,날줄,NNG
379,모르내요,comp_Nouns2
380,백엔드,NNP
380,프론트,NNP
380,전향,NNG
381,스프링부트,comp_Nouns2
381,이상,NNG
382,게임개발자,comp_Nouns2
382,클로즈테스터,comp_Nouns2
382,모집,NNG
383,it,SL
383,업계의,comp_Nouns2
383,일자리,NNG
383,분포,NNG
383,미래,NNG
384,si,SL
384,이직,NNG
384,나중,NNG
384,프리,NNG
384,전향,NNG
385,si,SL
385,입사,NNG
385,프로젝트,NNG
385,파견,NNG
385,신입,NNG
386,웹개발,comp_Nouns2
386,3년차,comp_SN_NNBC_NNG
386,이직,NNP
387,비전공자,NNP
387,국비지원,comp_Nouns2
387,학원,NNG
387,커리큘럼,NNG
388,취준생,NNP
388,면접대비,comp_Nouns2
388,방법,NNG
389,회사,NNG
389,경력,NNG
390,요즘,NNG
390,노트북,NNG
390,구매,NNG
390,머리,NNG
391,요즘,NNG
391,신입,NNG
391,이력서,NNG
391,수준,NNG
392,지방,NNG
392,신입,NNG
392,java,SL
392,주력,NNG
392,php,SL
392,회사,NNG
393,집안,NNG
393,공유기,NNG
393,설치,NNG
393,wifi,SL
393,설정,NNG
394,올해,NNG
394,안드로이드,NNG
394,프로젝트,NNG
395,윈도우,NNP
395,노트북,NNG
395,추천,NNG
396,코딩,NNG
396,3개월,comp_SN_NNBC
397,오랜만,NNG
397,랜케이블,comp_Nouns2
398,신입,NNG
398,프론트엔드,NNP
398,포트폴리오,NNG
398,피드백,NNG
399,퍼블리셔,NNG
400,2학년,NNP
400,방학,NNG
401,프로그래머,NNG
401,전향,NNG
401,경험,NNG
402,경험의,comp_Nouns2
402,차이,NNG
402,인식의,comp_Nouns2
402,차이,NNG
403,궁금증,NNG
403,개인,NNG
403,프로젝트,NNG
403,프리랜서,NNG
404,자율주행,comp_Nouns2
404,로봇,NNG
404,관제,NNG
404,서버,NNG
404,개발,NNG
404,직무,NNG
405,실력,NNG
406,그동안,NNG
406,자격증,NNG
407,자바,NNG
407,이후,NNG
407,신규,NNG
407,플젝,NNP
408,api,SL
408,스트레스,NNG
409,면접관,comp_Nouns2
410,만약,NNG
410,코딩,NNG
410,협업,NNG
411,철수,NNG
411,선임개발자,comp_Nouns2
412,신입사원,comp_Nouns2
413,코딩유머,comp_Nouns2
413,모음,NNG
413,jpg,SL
414,퍼블리셔,NNG
416,2년차,comp_SN_NNBC_NNG
416,물경력,comp_Nouns2
416,공부,NNG
417,신입,NNG
417,초봉,NNG
417,적용관련,comp_Nouns2
418,백엔드,NNP
418,커리어,NNP
419,요즘,NNG
419,발주,NNG
419,챗봇,comp_Nouns2
419,개발,NNG
419,ai,SL
419,기반,NNG
419,시나리오,NNG
419,기반,NNG
420,meserp,SL
420,미래,NNG
421,si,SL
421,sm,SL
421,프로젝트,NNG
421,역할,NNG
421,궁금증,NNG
422,데이터,NNG
422,진로,NNG
423,학부,NNG
424,지방,NNG
424,프론트,NNP
424,국비수업의,comp_Nouns3
424,실체,NNG
424,취업의,comp_Nouns2
424,갈림길,NNG
424,도움,NNG
424,필요,NNG
425,인텔리제이,NNP
425,개인,NNG
425,라이센스,NNG
425,인텔리제이,NNP
426,오늘,NNG
426,하루,NNG
426,종일,NNG
427,신입,NNG
427,취직,NNG
428,면접,NNG
428,이직,NNP
428,사유,NNG
429,30대,comp_SN_NNBC
429,중반,NNG
429,취업,NNG
429,가능,NNG
430,국비,NNG
430,프로젝트,NNG
430,수료,NNG
432,국비,NNG
432,수료,NNG
432,중소기업,NNG
432,전산,NNG
432,취직,NNG
433,국비지원학원,comp_Nouns3
435,it,SL
435,취린이,comp_Nouns2
435,지원직무,comp_Nouns2
435,포지션,NNG
